,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
451,True,0,0.0,False,84,1.6153846153846154,False,20,0.1724137931034483,False,4,0.030303030303030304,False,4,0.030303030303030304,24.0,268,123,2.9873030211827802,134,False,0.02052875689985402,1.6153846153846154,4,80,16,0,11,20,84,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False
452,True,0,0.0,False,89,1.0229885057471264,True,45,0.3435114503816794,True,11,0.06666666666666667,True,8,0.047619047619047616,23.0,348,157,2.9903790789054154,174,False,0.013031063070340106,1.0229885057471264,11,78,34,3,12,22,89,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
453,True,1,0.006060606060606061,True,89,1.155844155844156,True,36,0.27692307692307694,False,11,0.07096774193548387,True,6,0.0375,23.0,328,149,2.990890855588391,164,False,0.014328819719061674,1.155844155844156,10,78,25,5,12,21,89,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
454,True,1,0.009259259259259259,True,68,1.6585365853658536,False,14,0.14736842105263157,False,5,0.04807692307692308,True,5,0.04807692307692308,16.0,214,100,2.9823931789350313,107,False,0.025796818021019068,1.6585365853658536,4,63,9,0,10,18,68,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False
455,True,1,0.018867924528301886,True,25,0.8620689655172413,True,14,0.35,False,2,0.038461538461538464,False,1,0.018867924528301886,11.0,104,46,2.9573621128608902,52,False,0.04734043678713175,0.8620689655172413,1,23,12,1,8,15,25,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
456,True,1,0.003289473684210526,True,172,1.2932330827067668,False,55,0.22,True,21,0.07394366197183098,True,11,0.03741496598639456,45.0,606,278,2.9957523879561965,303,False,0.008206032115237467,1.2932330827067668,20,151,34,10,14,28,172,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
457,True,1,0.007352941176470588,True,76,1.2459016393442623,False,21,0.1810344827586207,True,9,0.0703125,True,7,0.05384615384615385,23.0,270,124,2.987068058438168,135,False,0.018653621364992413,1.2459016393442623,8,67,12,2,11,21,76,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
458,True,1,0.034482758620689655,True,17,1.3076923076923077,True,4,0.15384615384615385,False,0,0.0,False,1,0.034482758620689655,7.0,56,26,2.8795990370796893,28,False,0.11173740053050396,1.3076923076923077,1,17,4,1,7,10,17,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False,True
459,True,0,0.0,False,88,1.375,False,30,0.2459016393442623,False,4,0.02702702702702703,False,6,0.0410958904109589,24.0,300,137,2.9891107653071596,150,False,0.016545257763316445,1.375,4,84,26,2,12,22,88,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True
460,True,1,0.029411764705882353,True,13,0.5909090909090909,True,9,0.34615384615384615,True,4,0.12903225806451613,False,1,0.029411764705882353,7.0,66,30,2.891598377677011,33,False,0.08007217888054342,0.5909090909090909,3,9,5,3,8,11,13,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
