,first_disk_embedded,first_disk_t_bundle,second_disk_embedded,second_disk_t_bundle,length_first_disk,length_second_disk,length_third_disk,length_fourth_disk,length_fifth_disk,length_sixth_disk,N,fake_surface
358,False,False,False,False,15,4,3.0,1.0,1.0,,17,True
359,False,False,False,False,15,4,3.0,1.0,1.0,,17,True
360,False,False,False,False,15,4,3.0,1.0,1.0,,17,True
361,False,False,False,False,15,4,3.0,1.0,1.0,,17,True
362,False,False,False,True,15,4,3.0,1.0,1.0,,17,True
363,False,False,False,True,15,4,3.0,1.0,1.0,,17,True
364,False,False,False,True,15,4,3.0,1.0,1.0,,17,True
365,False,True,False,False,15,4,3.0,1.0,1.0,,17,True
366,False,True,False,False,15,4,3.0,1.0,1.0,,17,True
367,False,True,False,False,15,4,3.0,1.0,1.0,,17,True
368,False,False,False,False,15,4,3.0,1.0,1.0,,17,True
369,False,False,False,True,11,6,3.0,3.0,1.0,,17,True
370,False,False,False,True,11,6,3.0,3.0,1.0,,17,True
371,False,True,False,True,11,6,3.0,3.0,1.0,,17,True
372,False,False,False,False,11,6,3.0,3.0,1.0,,17,True
373,False,False,False,False,10,8,3.0,2.0,1.0,,17,True
374,False,False,False,False,10,8,3.0,2.0,1.0,,17,True
375,False,False,False,False,10,8,3.0,2.0,1.0,,17,True
376,False,False,False,False,10,8,3.0,2.0,1.0,,17,True
377,False,True,False,False,10,8,3.0,2.0,1.0,,17,True
378,False,True,False,False,10,8,3.0,2.0,1.0,,17,True
379,False,True,False,False,10,8,3.0,2.0,1.0,,17,True
380,False,True,False,True,10,8,3.0,2.0,1.0,,17,True
381,False,False,False,True,10,8,3.0,2.0,1.0,,17,True
382,False,False,False,True,10,8,3.0,2.0,1.0,,17,True
383,False,True,False,False,10,7,5.0,1.0,1.0,,17,True
384,False,False,False,False,10,7,5.0,1.0,1.0,,17,True
385,False,False,False,True,10,7,5.0,1.0,1.0,,17,True
386,False,True,False,True,10,7,5.0,1.0,1.0,,17,True
387,False,True,False,False,10,7,5.0,1.0,1.0,,17,True
388,False,False,False,False,10,7,5.0,1.0,1.0,,17,True
389,False,True,False,True,10,7,5.0,1.0,1.0,,17,True
390,False,False,False,True,10,7,5.0,1.0,1.0,,17,True
391,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
392,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
